Symbol,start_date,end_date,n_change,n_gain,gain_ratio,relative_change,date_trailing_end,t,t_gain_sign,t_gain_sign_ratio,t_relative_change,t_harmonic_mean,t_rank_harmonic_mean
API,2020-01-02,2025-08-15,883,387,0.44,,2025-06-20,40,0,0.0,0.0,0.0,32
APHYX,2020-01-02,2025-08-15,1005,515,0.51,,2025-06-20,40,0,0.0,0.0,0.0,32
APHTX,2020-01-02,2025-08-15,984,500,0.51,,2025-06-20,40,0,0.0,0.0,0.0,32
APHKX,2020-01-02,2025-08-15,1005,529,0.53,,2025-06-20,40,0,0.0,0.0,0.0,32
ASLGX,2020-01-02,2025-08-15,1005,550,0.55,,2025-06-20,40,0,0.0,0.0,0.0,32
ASHSX,2020-01-02,2025-08-15,1005,445,0.44,,2025-06-20,40,0,0.0,0.0,0.0,32
ASHIX,2020-01-02,2025-08-15,1005,446,0.44,,2025-06-20,40,0,0.0,0.0,0.0,32
ASHCX,2020-01-02,2025-08-15,1005,446,0.44,,2025-06-20,40,0,0.0,0.0,0.0,32
ASHAX,2020-01-02,2025-08-15,1005,443,0.44,,2025-06-20,40,0,0.0,0.0,0.0,32
ASERX,2020-01-02,2025-08-15,1005,550,0.55,,2025-06-20,40,0,0.0,0.0,0.0,32
ASDEX,2020-01-02,2025-08-15,1005,552,0.55,,2025-06-20,40,0,0.0,0.0,0.0,32
ARTYX,2020-01-02,2025-08-15,1005,515,0.51,,2025-06-20,40,0,0.0,0.0,0.0,32
ARTTX,2020-01-02,2025-08-15,1005,514,0.51,,2025-06-20,40,0,0.0,0.0,0.0,32
ARTKX,2020-01-02,2025-08-15,1005,530,0.53,,2025-06-20,40,0,0.0,0.0,0.0,32
ARTJX,2020-01-02,2025-08-15,1005,502,0.5,,2025-06-20,40,0,0.0,0.0,0.0,32
ARTGX,2020-01-02,2025-08-15,1005,502,0.5,,2025-06-20,40,0,0.0,0.0,0.0,32
ARQT,2020-01-02,2025-08-15,985,485,0.49,,2025-06-20,40,0,0.0,0.0,0.0,32
ARM,2020-01-02,2025-08-15,74,38,0.51,,2025-06-20,40,0,0.0,0.0,0.0,32
ARIS,2020-01-02,2025-08-15,549,272,0.5,,2025-06-20,40,0,0.0,0.0,0.0,32
ARINX,2020-01-02,2025-08-15,1005,407,0.4,,2025-06-20,40,0,0.0,0.0,0.0,32
ATHIX,2020-01-02,2025-08-15,1005,522,0.52,,2025-06-20,40,0,0.0,0.0,0.0,32
ATHGX,2020-01-02,2025-08-15,1005,523,0.52,,2025-06-20,40,0,0.0,0.0,0.0,32
ATHDX,2020-01-02,2025-08-15,1005,521,0.52,,2025-06-20,40,0,0.0,0.0,0.0,32
ATHAX,2020-01-02,2025-08-15,1005,515,0.51,,2025-06-20,40,0,0.0,0.0,0.0,32
ATEZX,2020-01-02,2025-08-15,612,303,0.5,,2025-06-20,40,0,0.0,0.0,0.0,32
ATEYY,2020-01-02,2025-08-15,1005,504,0.5,,2025-06-20,40,0,0.0,0.0,0.0,32
ATEYX,2020-01-02,2025-08-15,1005,538,0.54,,2025-06-20,40,0,0.0,0.0,0.0,32
ATECX,2020-01-02,2025-08-15,1005,534,0.53,,2025-06-20,40,0,0.0,0.0,0.0,32
ASYS,2020-01-02,2025-08-15,1005,499,0.5,,2025-06-20,40,0,0.0,0.0,0.0,32
